layer3,src,market,code,name,mktcap_yi,pe,rev,yoy,np_,gm,gm_chg
中间态 / 框架外,L3,A,300520,科大国创,69.71,-37.889,4.1925,-15.81,-1.0762,22.122585,-15.21
中间态 / 框架外,L3,A,600536,中国软件,286.58,-613.8,17.9232,-20.05,-0.124,49.830694,10.1
中间态 / 框架外,L3,A,002279,久其软件,56.65,125.143,6.0918,-28.81,-0.2491,57.576827,18.14
中间态 / 框架外,L3,A,002368,太极股份,80.9,-10.603,16.8886,-53.18,-3.5301,27.300779,3.99
③ 长尾 workbuddy,L4,HK,02556,迈富时,149.0,50.6,19.6,111.2,0.89,nan,nan
③ 长尾 workbuddy,L4,A,002530,金财互联,54.78,87.875,6.0759,29.94,0.4347,31.993808,-1.08
③ 长尾 workbuddy,L4,A,688111,金山办公,1030.25,55.927,33.1326,24.69,25.1759,84.895308,-0.14
③ 长尾 workbuddy,L4,A,300766,每日互动,85.46,-240.556,2.7177,24.39,-0.1083,60.755934,0.31
③ 长尾 workbuddy,L4,A,688787,海天瑞声,54.23,374.583,1.9188,22.45,0.0977,49.098403,-1.07
③ 长尾 workbuddy,L4,HK,09669,北森控股,nan,nan,11.05,16.9,-0.23,nan,nan
③ 长尾 workbuddy,L4,A,002315,焦点科技,102.3,15.598,10.5886,15.17,2.6024,79.101668,-0.95
③ 长尾 workbuddy,L4,A,688365,光云科技,68.5,-267.833,3.0213,15.13,0.1164,73.069012,3.05
③ 长尾 workbuddy,L4,A,301162,国能日新,68.58,35.317,3.5167,9.66,0.7012,63.699291,2.33
③ 长尾 workbuddy,L4,A,301556,托普云农,51.94,48.72,2.3628,-5.41,0.4334,48.999831,1.24
③ 长尾 workbuddy,L4,A,603990,麦迪科技,58.36,147.077,1.2316,-8.91,0.0663,60.13845,-3.55
③ 长尾 workbuddy,L4,HK,06608,百融云创,nan,nan,9.14,-43.3,-3.2,nan,nan
中间态 / 框架外,SEC,A,300454,深信服,612.77,152.677,39.9787,32.85,2.3123,60.888758,-1.2
中间态 / 框架外,SEC,A,601360,XD三六零,626.46,223.75,41.7212,9.01,2.1569,69.662368,3.12
中间态 / 框架外,SEC,A,002439,启明星辰,173.84,-30.448,12.3462,9.01,0.3079,56.185999,-3.72
中间态 / 框架外,SEC,A,300369,绿盟科技,71.74,-156.915,8.1258,1.51,-1.2902,54.761003,-4.57
中间态 / 框架外,SEC,A,300768,迪普科技,96.96,51.931,5.3678,-2.52,0.7241,62.335187,-0.03
中间态 / 框架外,SEC,A,002268,电科网安,124.65,216.129,4.6853,-4.04,-1.71,36.562541,-7.81
中间态 / 框架外,SEC,A,688225,亚信安全,58.92,-12.772,27.3664,-12.4,-2.5532,30.190691,-5.84
中间态 / 框架外,SEC,A,300188,国投智能,90.33,-11.549,4.8573,-12.89,-2.5483,35.330926,-0.96
中间态 / 框架外,SEC,A,600271,航天信息,122.48,-16.525,21.5162,-13.51,-3.7694,18.309346,-5.79
中间态 / 框架外,SEC,A,688561,奇安信集团,195.19,-15.138,14.9662,-14.09,-4.1128,50.998739,-1.68
中间态 / 框架外,SEC,A,002212,天融信,81.74,107.776,5.4539,-33.99,-2.7288,59.346881,-8.06
① 浅层工具（最先被吃）,L0,A,688615,合合信息,170.74,26.886,10.3096,22.28,2.4671,86.954753,0.67
① 浅层工具（最先被吃）,L0,HK,01357,美图公司,168.0,18.2,22.13,21.5,5.83,nan,nan
① 浅层工具（最先被吃）,L0,A,688207,格灵深瞳,51.07,-27.014,0.5042,18.72,-0.9501,32.674292,-23.77
① 浅层工具（最先被吃）,L0,A,688095,福昕软件开发,52.48,171.054,4.7097,11.44,0.1396,91.584005,-0.41
① 浅层工具（最先被吃）,L0,A,688088,虹软科技,118.31,46.078,4.3984,7.19,0.7714,89.034735,0.67
① 浅层工具（最先被吃）,L0,A,688343,云天励飞股份,229.61,-54.11,6.3566,-1.57,-2.5202,29.046822,0.52
① 浅层工具（最先被吃）,L0,A,300624,万兴科技,94.23,-103.702,7.0609,-7.09,-0.6898,86.62505,-5.79
① 浅层工具（最先被吃）,L0,A,688318,财富趋势,279.68,63.415,1.2134,-8.72,0.9212,67.713163,-11.82
① 浅层工具（最先被吃）,L0,A,688327,云从科技,102.85,-18.315,1.0026,-40.67,-0.7877,42.815024,5.08
① 浅层工具（最先被吃）,L0,A,300229,拓尔思,112.44,-38.281,1.2637,-48.38,-1.6875,61.425138,-1.53
