code,name,tier,group,mktcap_yi,pe,pb,rev_26h1,rev_yoy_calc,np_26h1,gm_26h1,gm_chg_pp
000997,新大陆,剔除,嵌入式/电力·轨交·军工硬件,197.86,19.425,2.573,56.3732,40.24,6.8969,28.183736,-7.57
300277,汽轮科技,剔除,工程/运维/非软商业模式,195.94,1957.576,2.016,28.8121,14.23,2.5441,28.350716,3.17
688206,概伦电子,核心,工业/研发设计软件,195.36,459.875,9.735,2.4039,10.05,-0.0673,85.120594,-6.52
688561,奇安信集团,核心,网络安全,195.19,-15.138,2.773,14.9662,-14.09,-4.1128,50.998739,-1.68
300738,奥飞数据,剔除,IDC/算力租赁/机房,190.24,141.258,5.187,14.6881,27.95,1.9657,34.421477,0.93
002624,完美世界,剔除,游戏,187.98,24.846,2.887,27.5102,-25.47,-1.1844,69.705639,13.03
603000,人民网,剔除,传媒/广告/电商/零售,185.87,87.37,4.953,7.3159,1.42,0.2124,39.302977,0.56
002439,启明星辰,核心,网络安全,173.84,-30.448,1.599,12.3462,9.01,0.3079,56.185999,-3.72
000032,深桑达Ａ,剔除,工程/运维/非软商业模式,172.19,-126.858,2.378,242.631,3.54,-2.084,7.555218,-1.66
600226,亨通股份,剔除,嵌入式/电力·轨交·军工硬件,171.92,82.571,4.609,14.1001,72.33,0.9162,8.645263,0.52
688615,合合信息,核心,办公与工具软件,170.74,26.886,5.751,10.3096,22.28,2.4671,86.954753,0.67
600410,华胜天成,观望,IT服务/系统集成,169.96,612.648,4.081,25.0146,10.57,-2.4504,10.802078,-1.33
600131,国网信通,剔除,嵌入式/电力·轨交·军工硬件,168.54,25.6,2.564,34.3329,-2.59,2.3138,17.331287,-4.79
688332,中科蓝讯,剔除,芯片/半导体设计,167.49,7.986,2.941,9.0529,11.52,4.7962,21.783074,-1.14
301316,慧博云通,观望,IT服务/系统集成,167.05,169.84,15.367,12.7021,23.82,0.1946,18.116212,-2.73
603171,税友股份,核心,垂直行业软件,162.44,117.706,6.351,10.1208,9.72,0.94,62.227168,3.17
300773,拉卡拉,观望,数据/云/算力服务,160.16,9.755,3.456,32.5674,22.81,6.6897,24.720776,-0.4
300170,汉得信息,核心,企业管理 ERP/OA,158.77,66.348,2.73,16.7007,6.07,0.9436,35.113748,0.25
300002,神州泰岳,观望,数据/云/算力服务,156.98,19.525,1.993,32.3384,20.45,3.8193,43.881001,-15.95
920138,杰理科技,剔除,芯片/半导体设计,154.31,23.919,3.057,14.5755,6.16,3.1116,32.255739,1.94
