code,name,industry,price,pe,pb,mktcap_yi,nmc_yi,rev_26h1,rev_25h1,rev_yoy_calc,np_26h1,np_25h1,np_yoy_calc,gm_26h1,gm_25h1,gm_chg_pp,roe_26h1,fin_err
688318,财富趋势,软件和信息技术服务业,78.0,63.415,7.302,279.68,279.68,1.2134,1.3293,-8.72,0.9212,1.0703,-13.93,67.713163,79.530899,-11.82,2.37,
688018,乐鑫科技,软件和信息技术服务业,118.64,37.64,5.91,278.07,278.07,14.8071,12.4554,18.88,3.3423,2.6126,27.93,49.317848,45.204119,4.11,7.26,
300339,润和软件,软件和信息技术服务业,33.9,282.5,7.372,269.98,263.64,18.7852,17.469,7.53,0.8266,0.5982,38.18,22.661458,23.718952,-1.06,2.29,
300496,中科创达,软件和信息技术服务业,55.04,56.209,2.402,254.13,203.39,43.0456,32.9945,30.46,2.456,1.5847,54.98,29.077182,33.157046,-4.08,2.35,
603444,吉比特,互联网和相关服务,342.0,13.735,4.068,246.38,246.38,37.2684,25.179,48.01,10.9154,6.4468,69.32,93.707793,92.314859,1.39,18.57,
688279,峰岹科技,软件和信息技术服务业,213.56,98.87,4.697,245.84,199.8,5.609,3.7504,49.56,1.9921,1.1651,70.98,52.026328,52.413975,-0.39,3.83,
688568,中科星图公司,软件和信息技术服务业,30.3,757.5,7.084,244.85,244.85,5.1428,13.4802,-61.85,-3.1867,0.781,-508.03,38.364459,46.073758,-7.71,-8.79,
688692,达梦数据,软件和信息技术服务业,202.77,44.467,5.924,229.62,150.38,7.1281,5.2308,36.27,2.2102,2.0468,7.98,95.361827,96.224122,-0.86,5.79,
688343,云天励飞股份,软件和信息技术服务业,63.85,-54.11,6.44,229.61,229.61,6.3566,6.4579,-1.57,-2.5202,-2.0594,-22.38,29.046822,28.525512,0.52,-6.79,
600602,云赛智联,软件和信息技术服务业,16.68,117.465,4.583,228.13,179.19,28.8233,31.3229,-7.98,1.0186,0.9501,7.21,16.268962,16.068376,0.2,2.0674,
300085,银之杰,软件和信息技术服务业,30.51,-162.201,50.994,215.6,182.06,3.72,3.5768,4.0,-0.2269,-0.5348,57.57,31.291448,28.58086,2.71,-5.27,
002065,东华软件,软件和信息技术服务业,6.56,44.056,1.677,210.28,193.24,52.6949,56.2216,-6.27,2.2267,2.4377,-8.66,21.165239,20.209157,0.96,1.79,
301171,易点天下,互联网和相关服务,33.51,98.559,5.437,207.27,168.18,22.3235,17.3675,28.54,0.7845,1.4352,-45.34,13.867227,17.73972,-3.87,2.1,
603881,数据港,互联网和相关服务,23.95,126.053,6.105,206.46,206.46,7.8161,8.1051,-3.57,0.8588,0.8496,1.08,29.294206,28.990628,0.3,2.55,
001270,铖昌科技,软件和信息技术服务业,99.26,172.476,12.932,204.59,203.29,2.1597,2.0121,7.34,0.763,0.5663,34.73,83.027102,68.036624,14.99,4.91,
002153,石基信息,软件和信息技术服务业,7.46,-124.333,3.101,203.6,119.34,12.6911,12.4957,1.56,0.257,0.3354,-23.38,48.421166,47.440663,0.98,0.38,
300613,富瀚微,软件和信息技术服务业,86.88,137.905,6.372,202.34,190.87,14.6316,6.8804,112.66,3.4977,0.2302,1419.42,45.276706,35.448935,9.83,11.3,
000158,常山北明,软件和信息技术服务业,12.55,627.5,3.824,200.63,199.63,36.9749,37.215,-0.65,-1.134,-0.9299,-21.95,10.72943,10.990806,-0.26,-2.12,
300383,光环新网,软件和信息技术服务业,11.07,-26.357,1.676,198.99,198.72,33.3158,37.1583,-10.34,0.6086,1.1503,-47.09,13.731307,15.159565,-1.43,0.51,
000997,新大陆,软件和信息技术服务业,19.53,19.425,2.573,197.86,196.75,56.3732,40.1976,40.24,6.8969,5.9536,15.84,28.183736,35.754676,-7.57,9.07,
300277,汽轮科技,软件和信息技术服务业,12.92,1957.576,2.016,195.94,98.9,28.8121,25.2237,14.23,2.5441,1.5462,64.54,28.350716,25.183314,3.17,2.62,
688206,概伦电子,软件和信息技术服务业,36.79,459.875,9.735,195.36,160.62,2.4039,2.1844,10.05,-0.0673,0.4618,-114.57,85.120594,91.640821,-6.52,-0.34,
688561,奇安信集团,软件和信息技术服务业,28.61,-15.138,2.773,195.19,195.19,14.9662,17.4217,-14.09,-4.1128,-7.6984,46.58,50.998739,52.680099,-1.68,-5.68,
300738,奥飞数据,软件和信息技术服务业,19.31,141.258,5.187,190.24,190.18,14.6881,11.4799,27.95,1.9657,0.879,123.63,34.421477,33.494062,0.93,5.04,
002624,完美世界,互联网和相关服务,9.69,24.846,2.887,187.98,177.11,27.5102,36.9099,-25.47,-1.1844,5.0321,-123.54,69.705639,56.679118,13.03,-1.7,
603000,人民网,互联网和相关服务,16.81,87.37,4.953,185.87,185.87,7.3159,7.2132,1.42,0.2124,-0.0516,511.63,39.302977,38.744753,0.56,0.57,
002439,启明星辰,软件和信息技术服务业,14.35,-30.448,1.599,173.84,104.55,12.3462,11.3258,9.01,0.3079,-0.9335,132.98,56.185999,59.908293,-3.72,0.28,
000032,深桑达Ａ,互联网和相关服务,14.17,-126.858,2.378,172.19,172.19,242.631,234.3421,3.54,-2.084,-0.9749,-113.77,7.555218,9.213707,-1.66,-2.83,
600226,亨通股份,互联网和相关服务,5.78,82.571,4.609,171.92,171.92,14.1001,8.1821,72.33,0.9162,1.2695,-27.83,8.645263,8.123011,0.52,2.49,
688615,合合信息,软件和信息技术服务业,87.11,26.886,5.751,170.74,117.89,10.3096,8.431,22.28,2.4671,2.3539,4.81,86.954753,86.289363,0.67,8.27,
600410,华胜天成,软件和信息技术服务业,15.5,612.648,4.081,169.96,169.96,25.0146,22.6232,10.57,-2.4504,1.3978,-275.3,10.802078,12.130519,-1.33,-5.71,
600131,国网信通,软件和信息技术服务业,14.08,25.6,2.564,168.54,168.38,34.3329,35.2469,-2.59,2.3138,2.6588,-12.98,17.331287,22.117591,-4.79,3.54,
688332,中科蓝讯,软件和信息技术服务业,93.84,7.986,2.941,167.49,167.49,9.0529,8.1175,11.52,4.7962,1.3112,265.79,21.783074,22.924081,-1.14,8.74,
301316,慧博云通,软件和信息技术服务业,41.39,169.84,15.367,167.05,161.94,12.7021,10.2588,23.82,0.1946,0.0565,244.42,18.116212,20.84886,-2.73,1.76,
603171,税友股份,软件和信息技术服务业,40.02,117.706,6.351,162.44,162.44,10.1208,9.2241,9.72,0.94,0.7101,32.38,62.227168,59.060104,3.17,3.65,
300773,拉卡拉,互联网和相关服务,14.73,9.755,3.456,160.16,151.51,32.5674,26.5195,22.81,6.6897,2.2936,191.67,24.720776,25.123417,-0.4,14.67,
300170,汉得信息,软件和信息技术服务业,15.26,66.348,2.73,158.77,151.73,16.7007,15.7455,6.07,0.9436,0.8501,11.0,35.113748,34.867075,0.25,1.65,
