市场,代码,名称,东财一级行业,东财细分行业,证监会行业,注册/登记地址,办公地址,区/园区,港股通,口径
港股,03899,中集安瑞科,石油及天然气,石油及天然气,石油及天然气,"Cricket Square, Hutchins Drive, P.O.Box 2681, Grand Cayman, Cayman Islands","香港中环夏悫道12号美国银行中心19楼1902–3室,中国广东省深圳蛇口工业区港湾大道2号中集集团研发中心",—,Y,登记/办公地址含深圳
港股,06067,深圳市星源材质科技,工业工程,工业工程,工业工程,中国广东省深圳市光明区公明街道田园路北,广东省深圳市光明新区公明办事处田园路北,光明区,Y,登记/办公地址含深圳
港股,06168,周六福珠宝,专业零售,专业零售,专业零售,中国广东省深圳市罗湖区东晓街道东晓社区太白路3031号中冠商务大厦2301–2409,"中国广东省深圳市罗湖区东晓街道东晓社区太白路3031号中冠商务大厦2301–2409,香港湾仔皇后大道东248号大新金融中心40楼",罗湖区,Y,登记/办公地址含深圳
港股,06600,卧安机器人,家庭电器及用品,家庭电器及用品,家庭电器及用品,中国广东省深圳市宝安区西乡街道麻布社区海城路5号前城商业中心1706室,"中国广东省深圳市宝安区西乡街道麻布社区海城路5号前城商业中心1706室,香港湾仔皇后大道东248号大新金融中心40楼",宝安区,Y,登记/办公地址含深圳
港股,06936,顺丰,工用运输,工用运输,工用运输,中国深圳市宝安区航城街道草围社区深圳机场航站四路1111号顺丰华南转运中心综合楼三层,中国广东省深圳市南山区科技南一路深投控创智天地大厦B座,宝安区,Y,登记/办公地址含深圳
港股,06969,思摩尔国际,家庭电器及用品,家庭电器及用品,家庭电器及用品,"Cricket Square, Hutchins Drive, PO Box 2681, Grand Cayman, Cayman Islands","香港九龙鸿图道83号东瀛游广场28楼B室,中国广东省深圳市,宝安区西乡街道,固戍社区东财工业区16号",宝安区,Y,登记/办公地址含深圳
港股,09699,杭州顺丰同城实业,工用运输,工用运输,工用运输,中国浙江省杭州市拱墅区舟山东路198号宸创大厦16层1626室,"中国广东省深圳市南山区兴海大道3076号顺丰总部大厦21-22楼,香港铜锣湾希慎道33号利园一期19楼1928室",南山区,Y,登记/办公地址含深圳
港股,09880,深圳市优必选科技,资讯科技器材,资讯科技器材,资讯科技器材,中国深圳市南山区桃源街道长源社区学苑大道1001号南山智园C1栋2201室,"中国深圳市南山区桃源街道长源社区学苑大道1001号南山智园C1栋2201室,香港湾仔皇后大道东248号大新金融中心40楼",南山区,Y,登记/办公地址含深圳
港股,09980,东鹏饮料,食物饮品,食物饮品,食物饮品,中国广东省深圳市南山区桃源街道珠光北路142号众冠红花岭工业西区3栋1楼,广东省深圳市南山区桃源街道明亮科技园88号3栋1楼-3楼,南山区,Y,登记/办公地址含深圳
港股,09981,深圳市沃尔核材,工业工程,工业工程,工业工程,中国广东省深圳市坪山区青松路53号,深圳市坪山区龙田街道兰景北路沃尔工业园,坪山区,Y,登记/办公地址含深圳
港股,09989,深圳市海普瑞药业,药品及生物科技,药品及生物科技,药品及生物科技,中华人民共和国深圳市南山区郎山路21号,深圳市南山区松坪山郎山路21号,南山区,Y,登记/办公地址含深圳
A股(剔除),600030,中信证券,金融,非银行金融-证券,金融业-资本市场服务,广东省深圳市福田区中心三路8号卓越时代广场(二期)北座,"广东省深圳市福田区中心三路8号中信证券大厦,北京市朝阳区亮马桥路48号中信证券大厦",福田区,,金融
A股(剔除),600036,招商银行,金融,银行-股份制与城商行,金融业-货币金融服务,中国广东省深圳市福田区深南大道7088号,广东省深圳市福田区深南大道7088号,福田区,,金融
A股(剔除),600999,招商证券,金融,非银行金融-证券,金融业-资本市场服务,深圳市福田区福田街道福华一路111号,"深圳市福田区福田街道福华一路111号,香港中环康乐广场8号交易广场一座32楼",福田区,,金融
A股(剔除),601318,中国平安,金融,非银行金融-保险,金融业-保险业,深圳市福田区益田路5033号平安金融中心47、48、109、110、111、112层,深圳市福田区益田路5033号平安金融中心47、48、108、109、110、111、112层,福田区,,金融
A股(剔除),000001,平安银行,金融,银行-股份制与城商行,金融业-货币金融服务,中华人民共和国广东省深圳市罗湖区深南东路5047号,"中国广东省深圳市深南东路5047号,中国广东省深圳市福田区益田路5023号平安金融中心B座",罗湖区,,金融
A股(剔除),000009,中国宝安,综合,综合-综合,金融业-其他金融业,深圳市罗湖区笋岗东路1002号宝安广场A座28、29层,广东省深圳市笋岗东路1002号宝安广场A座28、29层,罗湖区,,金融
A股(剔除),002736,国信证券,金融,非银行金融-证券,金融业-资本市场服务,深圳市罗湖区红岭中路1012号国信证券大厦十六层至二十六层,深圳市福田区福华一路125号国信金融大厦,罗湖区,,金融
A股(剔除),002797,第一创业,金融,非银行金融-证券,金融业-资本市场服务,深圳市福田区福华一路115号投行大厦20楼,深圳市福田区福华一路115号投行大厦15-20楼,福田区,,金融
A股(剔除),002939,长城证券,金融,非银行金融-证券,金融业-资本市场服务,广东省深圳市福田区福田街道金田路2026号能源大厦南塔楼10-19层,深圳市福田区福田街道金田路2026号能源大厦南塔楼10-19层,福田区,,金融
A股(剔除),600162,香江控股,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市前海深港合作区南山街道兴海大道3046号香江金融大厦32楼—A1,广东省广州市番禺区番禺大道锦绣香江花园香江控股办公楼,前海深港合作区,,地产
A股(剔除),600383,金地集团,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市福田区福田街道岗厦社区深南大道2007号金地中心32层,深圳市福田区福田街道岗厦社区深南大道2007号金地中心32层,福田区,,地产
A股(剔除),000002,万科A,房地产,房地产开发-房地产开发,房地产业-房地产业,中国深圳市盐田区大梅沙环梅路33号万科中心,中国广东省深圳市福田区梅林路63号万科大厦,盐田区,,地产
A股(剔除),000006,深振业A,房地产,房地产开发-房地产开发,房地产业-房地产业,深圳市罗湖区桂园街道宝安南路2014号振业大厦A座31层,深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层,罗湖区,,地产
A股(剔除),000011,深物业A,房地产,房地产开发-房地产开发,房地产业-房地产业,广东省深圳市罗湖区人民南路国贸大厦39层、42层,广东省深圳市罗湖区人民南路国贸大厦16层、20层、39层、42层,罗湖区,,地产
